Jeu;Taille;Streak;Joueur1;Joueur2;Gagnant;TempsExecution;TotalCoups
tictactoe;10;4;random;minmax;MinMax;72;3
tictactoe;10;4;random;alphabeta;AlphaBeta;5;4
tictactoe;10;4;minmax;random;MinMax;558;3
tictactoe;10;4;minmax;minmax;Draw;628;5
tictactoe;10;4;minmax;alphabeta;Draw;569;5
tictactoe;10;4;alphabeta;random;AlphaBeta;19;4
tictactoe;10;4;alphabeta;minmax;Draw;89;5
tictactoe;10;4;alphabeta;alphabeta;Draw;26;5
tictactoe;10;5;random;random;Random;0;4
tictactoe;10;5;random;minmax;MinMax;82;4
tictactoe;10;5;random;alphabeta;AlphaBeta;3;4
tictactoe;10;5;minmax;random;MinMax;602;3
tictactoe;10;5;minmax;minmax;Draw;632;5
tictactoe;10;5;minmax;alphabeta;Draw;559;5
tictactoe;10;5;alphabeta;random;AlphaBeta;20;4
tictactoe;10;5;alphabeta;minmax;Draw;85;5
tictactoe;10;5;alphabeta;alphabeta;Draw;26;5
mnk;3;3;random;random;Random;3;5
mnk;3;3;random;minmax;MinMax;247;3
mnk;3;3;random;alphabeta;AlphaBeta;12;3
mnk;3;3;minmax;random;MinMax;936;3
mnk;3;3;minmax;minmax;Draw;645;5
mnk;3;3;minmax;alphabeta;Draw;515;5
mnk;3;3;alphabeta;random;AlphaBeta;22;3
mnk;3;3;alphabeta;minmax;Draw;88;5
mnk;3;3;alphabeta;alphabeta;Draw;25;5
mnk;3;4;random;random;Draw;1;5
mnk;3;4;random;minmax;Draw;26;5
mnk;3;4;random;alphabeta;Draw;1;5
mnk;3;4;minmax;random;Draw;181;5
mnk;3;4;minmax;minmax;Draw;194;5
mnk;3;4;minmax;alphabeJeu;Taille;Streak;Joueur1;Joueur2;Gagnant;TempsExecution;TotalCoups
tictactoe;3;3;random;random;Random;29;5
tictactoe;3;3;random;minmax;MinMax;298;3
tictactoe;3;3;random;alphabeta;AlphaBeta;19;3
tictactoe;3;3;minmax;random;MinMax;745;4
tictactoe;3;3;minmax;minmax;Draw;688;5
tictactoe;3;3;minmax;alphabeta;Draw;404;5
tictactoe;3;3;alphabeta;random;AlphaBeta;33;5
tictactoe;3;3;alphabeta;minmax;Draw;143;5
tictactoe;3;3;alphabeta;alphabeta;Draw;64;5
tictactoe;3;4;random;random;Random;2;5
tictactoe;3;4;random;minmax;MinMax;118;4
tictactoe;3;4;random;alphabeta;Draw;7;5
tictactoe;3;4;minmax;random;MinMax;396;4
tictactoe;3;4;minmax;minmax;Draw;454;5
tictactoe;3;4;minmax;alphabeta;Draw;408;5
tictactoe;3;4;alphabeta;random;AlphaBeta;46;3
tictactoe;3;4;alphabeta;minmax;Draw;143;5
